,positions
221,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 1 4
222,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
223,rnbqkb1r/pp2pppp/2pp1n2/8/3P4/2N2N2/PPP1PPPP/R1BQK2R w KQkq - 0 4
224,rnbqk1nr/pp1p1ppp/2p5/4p3/1bP1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 1 4
225,rnbqkbnr/1pp1pp1p/p2p2p1/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
226,rnbqkb1r/ppp1pp1p/3p1np1/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
227,rnbqkb1r/pp1p1ppp/2p1pn2/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
228,r1bqkbnr/pppn1ppp/3p4/4p3/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 2 4
229,r2qkbnr/ppp1pppp/2n5/3p4/2PP2b1/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
230,rn1qkbnr/pp2pppp/2p5/3p1b2/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 4
231,rnbqkbnr/1p1p1ppp/p3p3/2pP4/8/2N5/PPP1PPPP/R1BQK1NR w KQkq - 0 4
232,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 1 4
233,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 3 4
234,r1bqkb1r/pppnpppp/3p1n2/8/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 2 4
235,rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 4
236,rn1qkbnr/pb1ppppp/1p6/2p5/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 4
237,rnbqkbnr/pp1p2pp/2p1p3/5p2/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
238,rn1qkb1r/ppp1pppp/3p1n2/5b2/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 2 4
239,r1bqkb1r/pppp1ppp/2n1pn2/8/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 2 4
240,rn1qkbnr/pp2pppp/2pp4/8/2PP2b1/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
241,rnbqkbnr/ppp1pppp/3p4/3P4/8/5N2/PPP1PPPP/RN1QKB1R w KQkq - 1 4
242,rnbqkb1r/pppp2pp/4pn2/5p2/2P5/2N3P1/PP1PPP1P/R2QKBNR w KQkq - 2 4
243,rnbqkbnr/p3pppp/1p1p4/2p5/4P3/2N3P1/PPPP1P1P/R2QKBNR w KQkq - 0 4
244,rn1qkbnr/p1pp1ppp/bp2p3/8/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 2 4
245,rnbqk1nr/ppp1ppbp/6p1/3p4/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
246,r1bqkbnr/pppn1ppp/3pp3/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 1 4
247,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 4
248,rnbqkb1r/pp1p1ppp/2p1pn2/8/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 4
249,rn1qkbnr/pp2pppp/2pp4/8/2PP2b1/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
250,rnbqkb1r/pp1ppp1p/5np1/2p5/1PP5/5N2/P2PPPPP/RN1QKB1R w KQkq - 0 4
251,rnbqk1nr/ppp1bppp/4p3/3p4/3PP3/8/PPPN1PPP/R2QKBNR w KQkq - 2 4
252,rnbqkb1r/ppp1pp1p/3p1np1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 2 4
253,rn1qkb1r/ppp1pppp/3p1n2/8/3PP1b1/5N2/PPP2PPP/RN1QKB1R w KQkq - 1 4
254,rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P4/5N1P/PPP1PPP1/RN1QKB1R w KQkq - 0 4
255,rn1qkbnr/ppp1pppp/8/3pNb2/3P4/8/PPP1PPPP/RNBQK2R w KQkq - 3 4
256,r1bqkbnr/ppp2ppp/2np4/4p3/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
257,rnbqkb1r/pppp2pp/4pn2/5p2/2P5/2N3P1/PP1PPP1P/R2QKBNR w KQkq - 0 4
258,r1bqkbnr/ppp2ppp/2np4/4p3/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
259,rn1qkb1r/ppp1pppp/3p1n2/8/2PP2b1/5N2/PP2PPPP/RNBQK2R w KQkq - 2 4
260,rnbqk1nr/pp1p1ppp/4p3/2p5/1bP5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 0 4
261,rnbqkb1r/pppppp1p/6p1/3nP3/3P4/8/PPP2PPP/RNBQK1NR w KQkq - 1 4
262,rnbqk1nr/p1pp1ppp/1p2p3/8/1bPP4/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
263,rnbqkb1r/pp2pppp/2pp1n2/8/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 0 4
264,rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
265,rnbqk1nr/1pppppbp/p5p1/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
266,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5P2/PPP3PP/RNBQK1NR w KQkq - 1 4
267,rnbqkbnr/1p2pppp/p1p5/3p4/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
268,rnbqkb1r/pp1pp1pp/5n2/2pP1p2/8/2N5/PPP1PPPP/R1BQK1NR w KQkq - 2 4
269,rn1qkbnr/ppp1pp1p/3p2p1/8/2PP2b1/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
270,rnb1kbnr/pp2pppp/3p4/q1p5/4P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 4
271,rnbqkb1r/pp1p1ppp/5n2/2pPp3/2P5/8/PP2PPPP/RN1QKBNR w KQkq e6 0 4
272,rnbqkbnr/p2p1ppp/1p2p3/2p5/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 4
273,rnbqk1nr/p1pp1ppp/1p2p3/8/1bPPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
274,rnbqkb1r/ppp2ppp/3ppn2/8/3P1B2/5N2/PPP1PPPP/RN1QK2R w KQkq - 0 4
275,rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
276,rnbqkb1r/pppppppp/5n2/3P4/8/5N2/PPP1PPPP/RN1QKB1R w KQkq - 3 4
277,rnb1kbnr/ppqp1ppp/4p3/2p5/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 4
278,r1bqkbnr/pppp1pp1/2n4p/4p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
279,r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/8/PPPN1PPP/R2QKBNR w KQkq - 2 4
280,r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/4P3/PP3PPP/RN1QKBNR w KQkq - 1 4
281,rnbqk1nr/ppppb1pp/4p3/5p2/2PP4/6P1/PP2PP1P/RN1QKBNR w KQkq - 1 4
282,r1bqkbnr/1p1ppppp/p1n5/1Bp5/4P3/2N5/PPPP1PPP/R2QK1NR w KQkq - 0 4
283,rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
284,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 2 4
285,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 4
286,rn1qkb1r/ppp1pppp/3p1n2/5b2/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 1 4
287,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 4
288,rn1qkb1r/ppp1pppp/3p1n2/5b2/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 2 4
289,rnbqkb1r/ppp1pppp/3p4/3nP3/8/5N2/PPPP1PPP/RN1QKB1R w KQkq - 0 4
290,rn1qkb1r/ppp1pppp/3p1n2/8/3P2b1/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 3 4
291,rnbqkb1r/pp2pppp/3p1n2/2pP4/4P3/8/PPP2PPP/RNBQK1NR w KQkq - 1 4
292,rnbqk1nr/p1pp1ppp/1p2p3/8/1b1PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 1 4
293,rnb1kbnr/pp1p1ppp/2p5/q3p3/2P1P3/5N2/PP1P1PPP/RN1QKB1R w KQkq - 2 4
294,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
295,rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RN1QKBNR w KQkq - 1 4
296,rnbqkb1r/pp1p1ppp/2p2n2/4p3/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
297,rnbqk1nr/pp1pppbp/6p1/2p5/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
298,rnbqkbnr/1p2pppp/p1p5/3p4/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
299,rnbqkbnr/3ppppp/p7/1pp5/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 4
300,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
301,rnb1kbnr/pp2pppp/1qp5/3p4/3PP3/8/PPPN1PPP/R1BQK1NR w KQkq - 2 4
302,rnbqkb1r/pp1pp1pp/5n2/2pP1p2/8/5N2/PPP1PPPP/RNBQK2R w KQkq - 2 4
303,rnbqkb1r/ppp1pp1p/3p1np1/8/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 0 4
304,rnbqkb1r/pp2pppp/5n2/2pp2B1/3P4/5N2/PPP1PPPP/RN1QK2R w KQkq - 0 4
305,rnbqk1nr/ppp1ppbp/3p2p1/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 0 4
306,rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/4P3/PP3PPP/RN1QKBNR w KQkq - 0 4
307,rnb1kbnr/pp1pp1pp/1qp5/5pB1/3P4/5N2/PPP1PPPP/RN1QK2R w KQkq - 2 4
308,rnbqkbnr/pp2ppp1/2p4p/3p4/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 4
309,r1bqkbnr/p2ppppp/1pn5/2p5/4P3/2N5/PPPPNPPP/R1BQK2R w KQkq - 0 4
310,r1bqkb1r/ppp1pppp/2n2n2/3p4/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 2 4
311,rn1qkb1r/ppp1pppp/5n2/3p1b2/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
312,rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
313,r1bqkbnr/pppn1ppp/3pp3/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 1 4
314,r1bqk1nr/pppp1ppp/2n5/2b1p3/2P5/2N1P3/PP1P1PPP/R1BQK1NR w KQkq - 1 4
315,r1bqkb1r/pppnpppp/3p1n2/8/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 1 4
316,rnbqkbnr/p3pppp/1pp5/3pP3/3P4/8/PPP2PPP/RN1QKBNR w KQkq - 0 4
317,rnbqkb1r/ppp1pp1p/3p1np1/8/2P1P3/2N5/PP1P1PPP/R1BQK1NR w KQkq - 0 4
318,rnbqkb1r/p2ppppp/1p3n2/2p5/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
319,rnbqkb1r/pppp1p1p/5np1/4p3/2P5/2N1P3/PP1P1PPP/R1BQK1NR w KQkq - 0 4
320,rnbqkb1r/p1pp1ppp/4pn2/1p6/8/2P2NP1/PP1PPP1P/RN1QKB1R w KQkq - 0 4
321,r1bqkb1r/ppp1pppp/2n2n2/3p4/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 4
322,rnbqkbnr/ppp2ppp/4p3/8/1PPp4/5N2/P2PPPPP/RNBQK2R w KQkq - 0 4
323,rnbqkbnr/ppp3pp/4p3/3p1p2/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 0 4
324,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 1 4
325,rnbqkb1r/p2ppppp/1p3n2/2p5/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
326,rn1qkbnr/pp2pppp/3p4/2p5/4P1b1/2N2N2/PPPP1PPP/R2QKB1R w KQkq - 2 4
327,rnbqkb1r/pppppppp/8/2n1P3/8/3P4/PPP2PPP/RN1QKBNR w KQkq - 1 4
328,rnb1kbnr/ppqp1ppp/4p3/2p5/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq - 2 4
329,rnb1kbnr/ppq1pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQK1NR w KQkq - 2 4
330,rnbqkb1r/pppppp1p/6p1/7n/2PP4/5P2/PP2P1PP/RNBQK1NR w KQkq - 1 4
331,rnbqkbnr/pp1p2pp/2p1p3/5p2/2PP4/6P1/PP2PP1P/RN1QKBNR w KQkq - 0 4
332,rnbqkbnr/pp3ppp/2p5/3pp3/2P5/2N1P3/PP1P1PPP/R2QKBNR w KQkq - 0 4
333,rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
334,r1bqkb1r/ppp1pppp/2n2n2/3p4/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
335,rnbqkb1r/ppp1p1pp/5n2/3p1p2/3P4/6P1/PPP1PPBP/RN1QK1NR w KQkq - 0 4
336,r1bqkbnr/ppp1pp1p/n2p2p1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
337,rnbqkb1r/ppppp2p/5np1/5p2/3P3P/6P1/PPP1PP2/RNBQK1NR w KQkq - 1 4
338,rnbqkbnr/pp3ppp/2pp4/4p3/2P5/2N2N2/PP1PPPPP/R2QKB1R w KQkq - 0 4
339,rnbqk2r/ppppppbp/5np1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 3 4
340,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 1 4
341,rnbqkb1r/pp1ppp1p/5np1/2p5/3P4/2P2N2/PP2PPPP/RNBQK2R w KQkq - 0 4
342,rnbqkb1r/p1pp1ppp/4pn2/1p6/2PP4/6P1/PP2PP1P/RN1QKBNR w KQkq - 0 4
343,rnbqkb1r/pp2pppp/3p1n2/2pP4/2P5/8/PP2PPPP/RNBQK1NR w KQkq - 0 4
344,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2P5/PP3PPP/RNBQK1NR w KQkq - 0 4
345,rnbqkb1r/pp1p1ppp/2p1pn2/8/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
346,r1bqkbnr/ppp2ppp/2n1p3/3p4/2PP4/4P3/PP3PPP/RN1QKBNR w KQkq - 1 4
347,rn1qkbnr/ppp1pppp/8/3pNb2/3P4/8/PPP1PPPP/RNBQK2R w KQkq - 4 4
348,rn1qkbnr/pbpppp1p/1p4p1/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 2 4
349,rnbqkbnr/pp2pp1p/3p2p1/2pP4/4P3/8/PPP2PPP/RNBQK1NR w KQkq - 0 4
350,rnbqkb1r/ppp1pp1p/3p1np1/8/3PP3/5P2/PPP3PP/RNBQK1NR w KQkq - 0 4
351,rnbqkb1r/pp1ppp1p/5np1/2p5/3P1B2/5N2/PPP1PPPP/RN1QK2R w KQkq - 0 4
352,rnbqkb1r/pppppppp/1n6/4P3/3P4/8/PPP2PPP/RN1QKBNR w KQkq - 1 4
353,rnb1kbnr/ppq1pppp/2p5/3p4/4P3/3P4/PPPN1PPP/R1BQK1NR w KQkq - 2 4
354,rnbqkbnr/pp2pp1p/2p3p1/3p4/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
355,rn1qkbnr/pp2pppp/2pp4/8/2PP2b1/5N2/PP2PPPP/RN1QKB1R w KQkq - 1 4
356,rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/8/PPP2PPP/RN1QKBNR w KQkq - 1 4
357,rnbqkbnr/1p2pppp/p1p5/3p4/4P3/2N2N2/PPPP1PPP/R2QKB1R w KQkq - 0 4
358,rnbqkb1r/pppp1ppp/4p3/8/2PPn3/5N2/PP2PPPP/RN1QKB1R w KQkq - 3 4
359,rn1qkbnr/ppp2ppp/3p4/4p3/2PP2b1/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
360,rnbqkb1r/pp2pppp/2pp1n2/8/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 4
361,rnbqkbnr/pp3ppp/2p1p3/3p4/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 4
362,rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P4/2N2N2/PPP1PPPP/R1BQK2R w KQkq - 2 4
363,rnbqkbnr/pp1pp1p1/7p/2p2p2/3P3B/8/PPP1PPPP/RN1QK1NR w KQkq - 0 4
364,rnbqkbnr/1p1p1ppp/p3p3/2p5/2P1P3/5N2/PP1P1PPP/RNBQK2R w KQkq - 0 4
365,rn1qkbnr/1bpppppp/p7/1p6/P2PP3/8/1PP2PPP/RNBQK1NR w KQkq - 1 4
366,rnbqkbnr/pp2pp1p/2p3p1/3p4/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 0 4
367,r1bqkb1r/ppp1pppp/2np1n2/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 1 4
368,rnbqk1nr/pppp1pbp/4p1p1/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 2 4
369,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQK1NR w KQkq - 2 4
370,rnbqkb1r/pp1ppp1p/5np1/2p5/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
371,rn1qkbnr/pp2pppp/2p5/3p1b2/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq - 2 4
372,r1bqkbnr/pp1npppp/2p5/3p4/4P3/3P4/PPPN1PPP/R1BQK1NR w KQkq - 2 4
373,rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq - 1 4
374,rnbqkb1r/p1pp1ppp/1p2pn2/8/2P5/2N2N2/PP1PPPPP/R1BQK2R w KQkq - 2 4
375,rnbqk1nr/pp1pppbp/2p3p1/8/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 2 4
376,rnbqkb1r/pp2pppp/2pp1n2/8/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 4
377,r1bqkbnr/ppp2ppp/2n1p3/3p4/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 0 4
378,r1bqkb1r/pppppp1p/n4np1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 1 4
379,rnbqkbnr/pp2pp1p/2pp2p1/8/3PP3/8/PPPN1PPP/R1BQK1NR w KQkq - 0 4
380,rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 2 4
381,r1bqkb1r/pppnpppp/3p1n2/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 2 4
382,rnbqkb1r/1ppp1ppp/p3pn2/8/2PPP3/8/PP3PPP/RNBQK1NR w KQkq - 1 4
383,rnbqkb1r/p2ppppp/2p2n2/1p4B1/3P4/4P3/PPP2PPP/RN1QK1NR w KQkq - 0 4
384,rnbqkb1r/pp1pnppp/2p1p3/8/2P1P3/2N5/PP1P1PPP/R2QKBNR w KQkq - 2 4
385,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 1 4
386,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/8/PPPN1PPP/R1BQK1NR w KQkq - 0 4
387,r1bqkbnr/ppp2ppp/2n1p3/3pP3/3P4/8/PPP2PPP/RN1QKBNR w KQkq - 0 4
388,r1bqkb1r/pppnpppp/3p1n2/8/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 3 4
389,rn1qkb1r/ppp1pppp/3p1n2/8/2PP2b1/5N2/PP2PPPP/RN1QKB1R w KQkq - 2 4
390,r1bqkbnr/ppp1pp1p/2np2p1/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
391,rnbqkbnr/pp3ppp/2p1p3/3p4/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
392,rnbqkbnr/pp2pp1p/3p2p1/2pP4/8/2N5/PPP1PPPP/R1BQK1NR w KQkq - 0 4
393,rnbqk2r/ppppppbp/5np1/8/2PP4/7P/PP2PPP1/RNBQK1NR w KQkq - 1 4
394,rnbqkbnr/p2p1ppp/1p2p3/2p5/4P3/2P2N2/PP1P1PPP/RN1QKB1R w KQkq - 0 4
395,rnbqkbnr/1pp2ppp/p3p3/3p4/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 4
396,rnbqk1nr/ppp1ppbp/3p2p1/6B1/3PP3/8/PPP2PPP/RN1QK1NR w KQkq - 2 4
397,rnbqkb1r/pppppp1p/6p1/3nP3/3P4/8/PPP2PPP/RN1QKBNR w KQkq - 1 4
398,rnbqkbnr/pp3ppp/3p4/2pPp3/4P3/8/PPP2PPP/RN1QKBNR w KQkq - 0 4
399,rn1qkbnr/p1pp1ppp/bp2p3/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
400,r1bqkb1r/pppppp1p/2n2np1/8/2PP4/5P2/PP2P1PP/RNBQK1NR w KQkq - 1 4
401,r1bqkb1r/pppppppp/2n5/3nP3/8/5N2/PPPP1PPP/RN1QKB1R w KQkq - 1 4
402,rn1qkbnr/ppp2ppp/4p3/3p1b2/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 4
403,r1bqkbnr/pp2pppp/2np4/2p5/4P3/2P2N2/PP1P1PPP/RN1QKB1R w KQkq - 1 4
404,rnbqkb1r/p1pppp1p/1p3np1/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
405,r1bqkbnr/pppn1ppp/3p4/4p3/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 1 4
406,rnbqk1nr/ppp1ppbp/3p2p1/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 2 4
407,r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 4
408,rnbqkbnr/ppp3pp/4p3/3p1p2/3P4/2P2N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
409,r1bqkb1r/ppp1pppp/2np1n2/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
410,rnbqkbnr/1p2pppp/p1p5/3p4/3PP3/8/PPPN1PPP/R1BQK1NR w KQkq - 0 4
411,rnbqkb1r/ppp1p1pp/3p1n2/5p2/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 2 4
412,rn1qkbnr/p1pp1ppp/bp2p3/8/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 2 4
413,rnbqkb1r/pppp1p1p/5np1/3Pp3/2P5/8/PP2PPPP/RNBQK1NR w KQkq e6 0 4
414,rnbqkb1r/pppp1ppp/4p3/3nP3/8/5N2/PPPP1PPP/RN1QKB1R w KQkq - 1 4
415,rnbqk1nr/pp1p1ppp/4p3/2p5/1bPP4/8/PP1BPPPP/RN1QK1NR w KQkq - 0 4
416,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 0 4
417,rnbqkbnr/p2ppp1p/1p4p1/2p5/2P5/4PN2/PP1P1PPP/RNBQK2R w KQkq - 0 4
418,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N2N2/PP1PPPPP/R2QKB1R w KQkq - 2 4
419,rnbqkb1r/pp1p1ppp/4pn2/2p5/4P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 2 4
420,rn1qkb1r/ppp1pppp/3p1n2/8/2PP2b1/5N2/PP2PPPP/RNBQK2R w KQkq - 1 4
421,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
422,rnbqkbnr/3ppppp/p7/1pp5/4P3/5NP1/PPPP1P1P/RN1QKB1R w KQkq - 0 4
423,r1bqkbnr/pppn1ppp/3p4/4p3/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 2 4
424,rnbqk1nr/ppp1bppp/3pp3/8/3PP3/5N2/PPP2PPP/RNBQK2R w KQkq - 2 4
425,r1bqkb1r/ppp1pppp/2n2n2/3p4/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 2 4
426,rnbqkb1r/ppp2ppp/3ppn2/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 2 4
427,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 2 4
428,rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N5/PPP2PPP/R1BQK1NR w KQkq - 0 4
429,rnbqkbnr/ppp3pp/4p3/3p1p2/2PP4/5N2/PP2PPPP/RNBQK2R w KQkq - 0 4
430,rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/4PN2/PP1P1PPP/RN1QKB1R w KQkq - 0 4
431,rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq - 3 4
432,rnbqkb1r/ppp1p1pp/3p1n2/5p2/2P5/2N2N2/PP1PPPPP/R2QKB1R w KQkq - 0 4
433,rn1qkbnr/ppp2ppp/3pb3/4p3/2P5/2NP4/PP2PPPP/R1BQK1NR w KQkq - 1 4
434,rnbqkbnr/pp3ppp/3pp3/2p5/4P3/2P2N2/PP1P1PPP/RN1QKB1R w KQkq - 0 4
435,rnbqkb1r/p1p1pppp/1p1p1n2/8/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq - 2 4
436,rnbqkbnr/pp2pp1p/2p3p1/3p4/2PP4/4P3/PP3PPP/RN1QKBNR w KQkq - 0 4
437,r1bqkbnr/pppn1ppp/3p4/4p3/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 1 4
438,rnbqkbnr/pp1p2pp/4p3/2p2p2/2PP4/4P3/PP3PPP/RN1QKBNR w KQkq - 0 4
439,rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/8/PP1NPPPP/R2QKBNR w KQkq - 0 4
440,rnbqkb1r/pp2pppp/2pp1n2/8/3P1B2/5N2/PPP1PPPP/RN1QK2R w KQkq - 0 4
